pred
"{""praise"":""Negativ"",""summary"":""positive""}"
"{""praise"":""Negati"",""summary"":""positive""}"
"{""localization"":""Positive"",""solution"":""Negative"",""summary"":""Positive"",""neutrality"":""Negative"",""mitigation"":""Positive"",""praise"":""Negative"",""problem"":""Positive""}"
"{""localization"":""Positive"",""solution"":""Negative"",""summary"":""Positive"",""neutrality"":""Negative"",""mitigation"":""Positive"",""praise"":""Negative"",""problem"":""Positive""}"
"{""localization"":""Positive"",""solution"":""Negative"",""summary"":""Positive"",""neutrality"":""Negative"",""mitigation"":""Positive"",""praise"":""Negative"",""problem"":""Positive""}"
"{""text"":""zx""}"
"{""localization"":""Positive"",""solution"":""Negative"",""summary"":""Positive"",""neutrality"":""Negative"",""mitigation"":""Positive"",""praise"":""Negative"",""problem"":""Positive""}"
{}
"{""localization"":""Positive"",""solution"":""Negative"",""summary"":""Positive"",""neutrality"":""Negative"",""mitigation"":""Positive"",""praise"":""Negative"",""problem"":""Positive""}"
{}
"{""localization"":""Positive"",""solution"":""Negative"",""summary"":""Positive"",""neutrality"":""Negative"",""mitigation"":""Positive"",""praise"":""Negative"",""problem"":""Positive""}"
"{""text"":""sdsdsdsd""}"
"{""localization"":""Positive"",""solution"":""Negative"",""summary"":""Positive"",""neutrality"":""Negative"",""mitigation"":""Positive"",""praise"":""Negative"",""problem"":""Positive""}"
{}
"{""localization"":""Positive"",""solution"":""Negative"",""summary"":""Positive"",""neutrality"":""Negative"",""mitigation"":""Positive"",""praise"":""Negative"",""problem"":""Positive""}"
"{""text"":""kjkj""}"
"{""localization"":""Positive"",""solution"":""Negative"",""summary"":""Positive"",""neutrality"":""Negative"",""mitigation"":""Positive"",""praise"":""Negative"",""problem"":""Positive""}"
{}
"{""localization"":""Positive"",""solution"":""Negative"",""summary"":""Positive"",""neutrality"":""Negative"",""mitigation"":""Positive"",""praise"":""Negative"",""problem"":""Positive""}"
"{""localization"":""Positive"",""solution"":""Negative"",""summary"":""Positive"",""neutrality"":""Negative"",""mitigation"":""Positive"",""praise"":""Negative"",""problem"":""Positive""}"
"{""localization"":""Positive"",""solution"":""Negative"",""summary"":""Positive"",""neutrality"":""Negative"",""mitigation"":""Positive"",""praise"":""Negative"",""problem"":""Positive""}"
